student_code	school_code	benchmark_test_code	test_score
970070079	NULL	G7DBA_ELA_2013-04-01	55.56
103431870	NULL	G8DBA_ELA_2013-04-01	63.64
100048388	NULL	Geom_2013-04-01	80.00
525925160	NULL	G6DBA_ELA_2013-04-01	45.95
970030582	NULL	G4DBA_ELA_2013-04-01	38.71
970020839	NULL	G6DBA_ELA_2013-04-01	37.84
103559274	NULL	G8Math_2013-04-01	64.52
125895631	NULL	G5Math_2013-04-01	36.84
103431797	NULL	G8DBA_ELA_2013-04-01	75.76
104035787	NULL	G7Math_2013-04-01	72.22
104237904	NULL	G7Math_2013-04-01	36.11
970084459	NULL	G7DBA_ELA_2013-04-01	63.89
104447149	NULL	G4PDBA_ELA_2013-04-01	71.60
970032468	NULL	G4MathP_2013-04-01	85.95
970023517	NULL	G5DBA_ELA_2013-04-01	38.24
970065673	NULL	G7Math_2013-04-01	55.56
970025352	NULL	G4Math_2013-04-01	90.91
100046762	NULL	Geom_2013-04-01	28.57
191088	NULL	G6DBA_ELA_2013-04-01	13.51
970032589	NULL	G4DBA_ELA_2013-04-01	35.48
818694457	NULL	G6Math_2013-04-01	36.36
970085320	NULL	G6Math_2013-04-01	75.76
278881339	NULL	G6DBA_ELA_2013-04-01	48.65
970062979	NULL	G5Math_2013-04-01	36.84
357984962	NULL	G6DBA_ELA_2013-04-01	72.97
663759157	NULL	G6Math_2013-04-01	57.58
104170626	NULL	G6Math_2013-04-01	60.61
102707916	NULL	Alg1_2013-04-01	17.65
178921896	NULL	G6DBA_ELA_2013-04-01	72.97
679314484	NULL	G5Math_2013-04-01	57.89
103405288	NULL	G7DBA_ELA_2013-04-01	44.44
100080456	NULL	Geom_2013-04-01	71.43
661819110	NULL	G6DBA_ELA_2013-04-01	37.84
970032963	NULL	G4DBA_ELA_2013-04-01	38.71
970023098	NULL	G6DBA_ELA_2013-04-01	40.54
100104447	NULL	Alg1_2013-04-01	55.88
970066953	NULL	Geom_2013-04-01	54.29
102850864	NULL	G8DBA_ELA_2013-04-01	27.27
104607445	NULL	G4Math_2013-04-01	0.00
970029387	NULL	G4Math_2013-04-01	38.64
100120708	NULL	G9DBA_ELA_2013-04-01	82.35
100500644	NULL	G8DBA_ELA_2013-04-01	9.09
970054815	NULL	G4PDBA_ELA_2013-04-01	39.40
970033910	NULL	G5DBA_ELA_2013-04-01	38.24
970044018	NULL	G5DBA_ELA_2013-04-01	61.76
172632572	NULL	G4Math_2013-04-01	50.00
970097226	NULL	G8Math_2013-04-01	35.48
278852827	NULL	G5Math_2013-04-01	68.42
